fpath,policy,theta,workload,secs,opsPerTx,total_threads,comm_rate,abrt_rate,avg_ms,median_ms,p95_ms,p99_ms
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-B/wait_nowait,nowait,0.0,YCSB-B,30,3,10,5556.13,0.0,1.787,1.7525,2.1955,2.5755
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.0,YCSB-B,30,3,10,5478.4,0.0,1.819,1.7785,2.245,2.7009999999999996
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.0,YCSB-B,30,3,10,4264.51,0.0,2.3275,2.2809999999999997,2.8225,3.3315
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-C/wait_nowait,nowait,0.0,YCSB-C,30,3,10,5593.34,0.0,1.783,1.75,2.1805000000000003,2.5575
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.0,YCSB-C,30,3,10,5506.37,0.0,1.8094999999999999,1.771,2.235,2.6609999999999996
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.0,YCSB-C,30,3,10,4300.56,0.0,2.3165,2.273,2.8064999999999998,3.3175
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-A/wait_nowait,nowait,0.0,YCSB-A,30,3,10,5526.28,0.0,1.798,1.7614999999999998,2.223,2.6215
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.0,YCSB-A,30,3,10,5442.58,0.0,1.8335,1.791,2.2735,2.7344999999999997
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0/servers_2_clients_2/threads_10/theta_0/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.0,YCSB-A,30,3,10,4247.54,0.0,2.343,2.2975000000000003,2.851,3.3600000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,5442.255,116.485,1.788,1.7555,2.1895,2.5655
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,5389.35,79.99,1.8205,1.7795,2.243,2.6950000000000003
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,4235.29,20.99,2.3395,2.2865,2.8645,3.5294999999999996
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,5630.39,0.0,1.7665,1.7355,2.151,2.524
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,5574.18,0.0,1.7814999999999999,1.745,2.1825,2.5970000000000004
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,4343.35,0.0,2.2845,2.2455,2.75,3.2195
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,4723.53,920.88,1.809,1.7759999999999998,2.21,2.5965
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,4917.39,604.88,1.8359999999999999,1.7854999999999999,2.339,2.871
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_ops_3/servers_2_clients_2/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,3889.42,111.99,2.4895,2.328,3.626,5.154
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,10,7551.61,209.97,1.255,1.232,1.563,1.899
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,10,7491.41,146.97,1.278,1.248,1.618,1.988
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,10,6368.66,41.99,1.515,1.479,1.923,2.424
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,10,7972.99,0.0,1.224,1.203,1.525,1.844
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.99,YCSB-C,30,3,10,7856.32,0.0,1.242,1.219,1.556,1.895
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.99,YCSB-C,30,3,10,6588.3,0.0,1.48,1.459,1.82,2.194
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,10,6392.25,1742.69,1.255,1.231,1.579,1.924
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,10,6677.21,1156.79,1.287,1.244,1.731,2.191
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_servers_1/servers_1_clients_3/threads_10/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,10,5731.25,251.97,1.646,1.505,2.629,3.952
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_30/servers_2_clients_2/threads_30/theta_0.99/ops_3/workload_YCSB-B/wait_nowait,nowait,0.99,YCSB-B,30,3,30,10415.67,973.78,2.651,2.572,3.4015,4.17
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_30/servers_2_clients_2/threads_30/theta_0.99/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.99,YCSB-B,30,3,30,10558.26,647.92,2.6835,2.597,3.4935,4.306
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_30/servers_2_clients_2/threads_30/theta_0.99/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.99,YCSB-B,30,3,30,8416.28,227.97,3.455,3.2744999999999997,4.776999999999999,6.852
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_30/servers_2_clients_2/threads_30/theta_0.99/ops_3/workload_YCSB-C/wait_nowait,nowait,0.99,YCSB-C,30,3,30,11525.45,0.0,2.5869999999999997,2.5149999999999997,3.327,4.032
